	 181759
polysaccharide biosynthetic process	 3
maintenance of mitochondrion location	 5
phosphatidylserine metabolic process	 1
anion transport	 22
cell maturation	 13
acyl carnitine transport	 2
coated pit	 53
protein polyglutamylation	 11
phthalate metabolic process	 1
tyrosyl-tRNA aminoacylation	 15
fatty-acyl-CoA synthase activity	 84
xenobiotic transport	 10
ascus epiplasm	 1
laminin-3 complex	 1
positive regulation of peptidyl-tyrosine phosphorylation	 18
proline-rich region binding	 17
pituitary gland development	 8
regulation of Rac protein signal transduction	 4
nurse cell apoptotic process	 4
glycine oxidase activity	 1
glucocorticoid catabolic process	 1
ornithine cyclodeaminase activity	 1
glutaryl-CoA dehydrogenase activity	 8
regulation of ER to Golgi vesicle-mediated transport	 5
nucleotide-excision repair, preincision complex assembly	 1
behavioral fear response	 3
Toll-like receptor 2-Toll-like receptor 6 protein complex	 3
blood vessel morphogenesis	 1
mitochondrial alpha-ketoglutarate dehydrogenase complex	 4
beta-N-acetylhexosaminidase activity	 14
dorsal closure	 30
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	 25
melanosome localization	 3
aging	 63
positive regulation of nitric-oxide synthase activity	 2
phenylethanolamine N-methyltransferase activity	 1
3-hydroxybutyrate dehydrogenase activity	 18
glycine C-acetyltransferase activity	 3
negative regulation of DNA endoreduplication	 2
histone methyltransferase activity (H4-R3 specific)	 1
extrinsic to membrane	 25
arginine metabolic process	 13
high affinity oligopeptide transporter activity	 2
threonine aldolase activity	 7
dynactin binding	 2
positive regulation of insulin secretion	 13
diterpenoid biosynthetic process	 1
positive regulation of growth	 1
mitochondrial respiratory chain complex I	 14
oligodendrocyte differentiation	 13
RNA biosynthetic process	 12
branching involved in ureteric bud morphogenesis	 14
snoRNA binding	 33
negative regulation of mucus secretion	 1
microtubule anchoring	 4
negative regulation of immature T cell proliferation in thymus	 2
ethanolaminephosphotransferase activity	 3
cob(I)yrinic acid a,c-diamide adenosyltransferase activity	 7
protein K48-linked ubiquitination	 7
excinuclease ABC activity	 32
methionine transport	 2
synaptic vesicle uncoating	 1
D-arabinono-1,4-lactone oxidase activity	 12
positive regulation of interleukin-12 biosynthetic process	 7
mismatched DNA binding	 36
adenylyl-sulfate reductase (glutathione) activity	 1
syncytial nuclear migration	 1
cell cycle process	 4
5'-tyrosyl-DNA phosphodiesterase activity	 2
negative regulation of transcription elongation from RNA polymerase II promoter	 1
establishment of body hair or bristle planar orientation	 1
meristem initiation	 1
trigeminal nerve morphogenesis	 3
integrase activity	 35
basement membrane	 102
cellulose 1,4-beta-cellobiosidase activity	 21
regulation of lipid transport	 1
peptidoglycan glycosyltransferase activity	 31
sterol binding	 14
glutamate synthase (ferredoxin) activity	 39
digestive tract morphogenesis	 9
long term synaptic depression	 7
inorganic anion exchanger activity	 11
geranylgeranyl-diphosphate geranylgeranyltransferase activity	 4
RNA-induced silencing complex	 15
positive regulation of insulin-like growth factor receptor signaling pathway	 2
GDP-mannose metabolic process	 3
APG12 activating enzyme activity	 2
superoxide anion generation	 6
double-stranded DNA binding	 37
vesicle targeting, to, from or within Golgi	 1
viral reproduction	 248
hindgut morphogenesis	 4
endothelial cell migration	 4
branched-chain amino acid transmembrane transporter activity	 10
kidney development	 62
hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	 319
tricarboxylic acid transmembrane transporter activity	 1
cyclin-dependent protein kinase 5 activator activity	 1
leukotriene biosynthetic process	 19
endosome	 193
carbamoyl-phosphate synthase (ammonia) activity	 6
carbamoyl phosphate biosynthetic process	 1
arginine catabolic process	 4
acetyl-CoA transport	 1
cAMP catabolic process	 8
heart jogging	 6
R3/R4 development	 1
mannosyl-oligosaccharide glucosidase activity	 5
Golgi vesicle prefusion complex stabilization	 1
sodium:amino acid symporter activity	 2
pyrimidine nucleobase metabolic process	 8
intestinal epithelial structure maintenance	 1
toll-like receptor 7 signaling pathway	 5
biopterin transport	 1
mercury ion transport	 2
4-hydroxy-tetrahydrodipicolinate reductase	 14
glycosylceramidase activity	 1
dopachrome isomerase activity	 1
taurocyamine kinase activity	 1
spinal cord motor neuron cell fate specification	 2
methanogenesis	 51
response to nitrosative stress	 6
UDP-N-acetylglucosamine transmembrane transporter activity	 6
left-handed Z-DNA binding	 2
ethanolamine kinase activity	 1
regulation of mitosis	 16
activin receptor activity, type II	 1
histidine catabolic process	 4
negative regulation of interleukin-12 production	 16
regulation of mRNA stability	 7
metanephros development	 5
ganglioside binding	 3
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	 5
5-formyltetrahydrofolate transporter activity	 2
regulation of sensory perception of pain	 4
beta-catenin destruction complex	 1
floor plate development	 1
cytoplasmic membrane-bounded vesicle	 218
elevation of endoplasmic reticulum calcium ion concentration	 5
positive regulation of cell-matrix adhesion	 7
brain morphogenesis	 10
regulation of photosynthesis	 2
4-amino-4-deoxychorismate synthase activity	 2
plant-type cell wall biogenesis	 3
amino acid transmembrane transporter activity	 52
mannose isomerase activity	 4
transcription initiation factor activity	 4
positive regulation of retroviral genome replication	 3
mitochondrial fatty acid beta-oxidation multienzyme complex	 2
positive regulation of protein modification process	 2
somatic recombination of immunoglobulin gene segments	 5
UDP-xylose transmembrane transporter activity	 2
cytokinesis by binary fission	 2
regulation of Rho protein signal transduction	 137
positive regulation of interleukin-6 production	 22
negative regulation of RNA polymerase II transcriptional preinitiation complex assembly	 2
peroxisome matrix targeting signal-2 binding	 1
2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity	 10
positive regulation of meiotic cell cycle	 1
cysteine-type peptidase activity	 385
spermidine synthase activity	 9
regulation of Rac GTPase activity	 4
positive regulation of epithelial cell proliferation involved in prostate gland development	 3
trehalose metabolic process	 1
cellular response to gonadotropin stimulus	 1
deoxyribonuclease II activity	 5
maintenance of DNA repeat elements	 3
nuclear export	 1
MAP kinase kinase kinase activity	 64
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	 27
antennal morphogenesis	 6
response to follicle-stimulating hormone stimulus	 2
O-methyltransferase activity	 27
embryo development	 108
enzyme regulator activity	 27
myosin heavy chain kinase activity	 31
exoribonuclease H activity	 1
regulation of proton transport	 4
polarity specification of anterior/posterior axis	 4
glucocorticoid receptor binding	 5
homogentisate geranylgeranyltransferase activity	 1
axonemal dynein complex assembly	 2
metal ion binding	 6162
inositol monophosphate 1-phosphatase activity	 13
deoxycytidine kinase activity	 2
serine-ethanolaminephosphate phosphodiesterase activity	 6
spectrosome organization	 6
histone pre-mRNA stem-loop binding	 1
glutamate-ammonia ligase activity	 60
R3/R4 cell fate commitment	 7
proteasome regulatory particle	 8
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	 107
response to zinc ion	 15
DNA methylation on cytosine	 26
lagging strand elongation	 3
cellular response to cAMP	 12
SAGA-type complex	 4
negative regulation of Schwann cell proliferation	 3
response to hyperoxia	 2
UDP-N-acetylgalactosamine metabolic process	 5
cranial nerve development	 7
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity	 3
regulation of centriole-centriole cohesion	 2
ribonucleoside diphosphate catabolic process	 1
telomere maintenance via telomere shortening	 2
actin nucleation	 3
identical protein binding	 408
mannose binding	 12
positive regulation of histone H3-K4 methylation	 5
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	 4
hyperosmotic response	 7
'de novo' posttranslational protein folding	 17
keratinization	 6
half bridge of spindle pole body	 1
deadenylation-dependent decapping of nuclear-transcribed mRNA	 1
phosphorelay response regulator activity	 143
PSII associated light-harvesting complex II catabolic process	 2
substrate-dependent cell migration, cell extension	 1
cellular response to lithium ion	 2
kinesin complex	 95
2,4-dienoyl-CoA reductase (NADPH) activity	 2
platelet activating factor receptor activity	 1
pyroglutamyl-peptidase activity	 1
aminopeptidase activity	 164
nucleoside-triphosphatase activity	 2397
collateral sprouting of injured axon	 1
endomembrane system	 134
cytokine biosynthetic process	 7
cuticle development	 7
aminoglycoside 3-N-acetyltransferase activity	 2
regulation of proteasomal protein catabolic process	 2
cellular biogenic amine catabolic process	 1
insecticide metabolic process	 1
regulation of TOR signaling cascade	 4
negative regulation of myoblast differentiation	 10
metallopeptidase activity	 473
positive regulation of heart rate	 1
regulation of immunoglobulin secretion	 10
neuromuscular synaptic transmission	 17
Ada2/Gcn5/Ada3 transcription activator complex	 11
dolichol biosynthetic process	 3
pattern recognition receptor signaling pathway	 9
branched duct epithelial cell fate determination, open tracheal system	 1
platelet alpha granule lumen	 8
transcription elongation factor complex	 13
centrosomal corona	 1
choline metabolic process	 3
androgen binding	 1
negative regulation of smooth muscle cell proliferation	 15
genital disc development	 1
insulin-activated receptor activity	 1
pole plasm	 2
microvillus	 28
nucleoside-diphosphatase activity	 3
cellular_component	 2100
induction of bacterial agglutination	 7
regulation of protein phosphorylation	 129
plastid DNA replication	 6
embryonic digestive tract morphogenesis	 6
hemoglobin import	 4
Notch receptor processing	 11
histone acetyl-lysine binding	 6
activation of signaling protein activity involved in unfolded protein response	 4
regulation of mitotic centrosome separation	 1
cyclin-dependent protein serine/threonine kinase regulator activity	 8
holo TFIIH complex	 13
spindle assembly involved in meiosis	 1
sphingosine biosynthetic process	 4
positive regulation of platelet activation	 2
BBSome	 16
asymmetric cell division	 5
ErbB-3 class receptor binding	 2
sphingolipid binding	 13
protein tag	 5
second-messenger-mediated signaling	 7
negative regulation of protein ubiquitination	 16
negative regulation of nitric oxide mediated signal transduction	 1
ER retention sequence binding	 20
oxo-acid-lyase activity	 17
R7 cell development	 2
muscle organ development	 43
GDP-L-fucose biosynthetic process	 1
inositol or phosphatidylinositol kinase activity	 16
phospholipase activator activity	 2
demethylase activity	 2
sensory perception of smell	 18
positive regulation of transcription from RNA polymerase II promoter	 132
tau-protein kinase activity	 8
regulation of mRNA processing	 1
initiation of neural tube closure	 1
fluorene metabolic process	 2
mitochondrial small ribosomal subunit	 3
positive regulation of cyclin-dependent protein kinase activity	 5
regulation of cellular amino acid metabolic process	 14
positive regulation of protein export from nucleus	 1
TORC2 complex	 2
response to carbon monoxide	 4
valine-tRNA ligase activity	 27
potassium ion homeostasis	 4
oocyte axis specification	 2
lung induction	 2
peptide-methionine (R)-S-oxide reductase activity	 12
steroid biosynthetic process	 44
TAP1 binding	 2
attachment of spindle microtubules to kinetochore	 3
establishment or maintenance of epithelial cell apical/basal polarity	 15
cAMP-dependent protein kinase complex	 126
glycogen metabolic process	 27
nerve maturation	 1
precorrin-2 C20-methyltransferase activity	 1
Rab guanyl-nucleotide exchange factor activity	 1
Rb-E2F complex	 3
negative regulation of branching morphogenesis of a nerve	 6
